,#10,#11,#12,#13,#17,#18,#26,#49,#50,#51,#52,#53,#54,#58,#101,#102,#201,#202,#301,#302,#401,#402,#501,#502,#601,#602,#701,#702,#801,#802,#901,#902,#1001,#1002,#1101,#1102,#1201,#1202,#1301,#1302,#1401,#1402,#1501,#1502,#1601,#1602,#1701,#1702,#1801,#1802,#1901,#1902,#2001,#2002,#2101,#2102,#2201,#2202,#2301,#2302,#2401,#2402,#2501,#2502,#2601,#2602,#2701,#2702,#2801,#2802,#2901,#2902,#3001,#3002,#3101,#3102,#3201,#3202,#3301,#3302,#3401,#3402,#3501,#3502,#3601,#3602,#3701,#3702,#3801,#3802,#3901,#3902,#4001,#4002,#4101,#4102,#4201,#4202,#4301,#4302,#4401,#4402,#4501,#4502,#4601,#4602,#4701,#4702,#4801,#4802
0,-1.643979,3.685548,-6.557472,13.215834,-14.861041,-11.698276,8.705268,2.725604,-4.172366,7.859906,1.8572,-20.157471,-12.994394,-23.929527,5.762334,0.916154,-8.185196,-15.593276,6.119751,-1.158225,7.607529,-4.081378,2.609939,2.592646,-0.258593,-4.839038,5.976126,0.05304,-3.893186,-1.535485,-13.830045,-5.503036,-6.922003,0.529019,-10.899512,-1.163132,7.857581,1.86068,-0.19541,1.559221,-5.734435,-0.14458,-0.076154,-2.506275,-5.000736,0.757985,-0.62203,-2.920705,5.728242,10.127572,3.999986,1.917793,8.047197,2.484644,10.948514,9.453148,1.477376,-4.662906,-5.941401,5.393071,-27.954495,-1.258788,-0.643208,-0.546212,-0.595599,1.870554,0.362347,-2.925172,1.119407,1.424304,-3.904647,0.620375,2.372791,-6.82023,19.583396,1.151238,21.033393,8.217056,-9.17813,-8.769658,-10.145465,-3.580363,-26.437941,-24.528644,-18.982663,-12.694049,-4.780577,-1.318481,-6.984162,-9.46091,12.316224,-7.053675,-16.797532,10.874509,-17.933912,-17.75487,-4.933068,-7.254802,0.273342,-5.215948,-15.492119,7.748266,-21.438396,12.521184,-0.889517,4.52376,-13.810899,-26.058856,-9.457502,6.827192
1,-3.955883,0.138608,-10.16041,14.685155,-7.200204,-9.3911,-4.062637,-1.146416,0.685959,11.140821,4.51141,-19.518989,-5.811828,-29.051481,3.598757,-1.9753,-7.027147,-13.633883,3.960603,-5.235667,1.424348,-8.747415,-1.422354,2.212452,-8.440171,-7.432107,5.60819,-0.187895,-7.399363,-2.911403,-19.893286,-6.889262,-2.42119,1.625576,-9.173234,-2.650737,4.971275,1.400915,5.615685,0.85661,-11.192008,-0.618126,1.866942,-2.430903,-1.288985,3.517721,-0.979055,-4.66477,13.884546,10.649676,-0.809458,1.963956,9.126009,3.280117,5.764952,7.611879,2.742407,-9.687637,-1.581482,8.203743,-40.219427,-2.87879,-2.589676,5.985035,-3.382139,4.962683,0.998945,-1.62332,-4.73826,0.130268,-9.766556,-4.2684,0.833181,-3.924552,22.522264,-0.873242,22.271364,7.623227,-5.440279,-7.651671,-10.434581,-3.42373,-16.869794,-18.881493,-20.790303,-11.5793,-9.763697,-5.060548,-5.558796,-9.348512,15.083814,-0.871938,-12.856887,22.791217,-18.296807,-25.802687,-0.383666,-10.750206,-0.206725,-7.452635,-9.626866,0.201448,-27.780652,5.719689,7.149787,2.392365,-18.186346,-32.091301,-10.491036,7.273817
2,-2.078587,-5.528163,-8.299685,5.749183,2.73703,-0.217016,-21.651293,-5.274494,6.335193,4.312227,6.670826,-5.512985,2.503387,-18.284359,0.022364,-4.888935,0.133659,0.102417,-2.926976,-8.958503,-6.238309,-8.133644,0.414484,0.748604,-8.705,-8.583842,0.946476,-0.590531,-7.904093,-3.179958,-16.248082,-3.589516,5.956893,1.827064,-3.673695,-4.156256,-2.609623,-2.180142,6.655469,-3.820945,-6.837003,-3.190593,4.733859,-0.262406,3.974306,1.853016,1.454168,-2.583553,13.796738,4.252326,-4.40722,3.931693,8.730062,5.635072,0.526213,-2.903334,0.41387,-9.911206,2.386761,8.232234,-27.559366,-7.522841,-7.175389,8.167995,-6.130784,4.168134,-0.704947,0.479703,-10.605463,-1.458311,-9.358077,-11.450038,3.050796,3.900352,11.763753,-2.961503,11.982248,4.083852,0.699422,-3.286411,-2.557253,-1.783012,13.016049,-4.699181,-13.171622,-5.521152,-10.949483,-5.462692,-2.284387,-1.378268,3.668579,6.365182,0.63972,18.908587,2.389771,-24.684366,9.173921,-5.861086,-2.534597,-1.689533,6.596341,-9.165052,-9.549558,-1.989253,14.539417,1.301868,-17.526331,-15.288454,-4.688036,-0.637457
3,1.36643,-7.739879,-5.486287,-5.673624,5.124411,0.895803,-27.217875,-6.986639,7.499633,-9.209534,-1.139487,10.074704,3.330424,2.022145,-0.985986,-5.063826,6.47234,10.740756,-7.910117,-8.272294,-9.265971,-3.102571,5.413472,0.788693,1.813901,-6.335179,-5.111586,-0.760626,-4.914034,-1.302545,-9.827254,3.324125,8.841811,0.509965,0.176682,-3.16961,-7.086944,-5.580063,0.742959,-8.802487,4.605304,-7.009916,6.168689,1.126419,5.620038,-2.113104,4.966258,1.732171,3.655556,-5.956409,-6.283484,6.031929,4.024631,7.206862,-0.783979,-14.214266,-3.665989,-3.75005,3.329561,6.076198,0.927663,-14.140035,-10.250336,5.010715,-8.128945,-0.938669,-2.293689,0.406303,-8.386354,-0.220438,-2.716375,-13.590316,9.899252,8.326902,-2.477714,-3.739842,1.525465,2.448414,4.163021,2.179207,4.594463,-0.001844,35.100901,4.909698,-6.022906,-0.263075,-7.459768,-2.697486,-1.496806,9.206883,-9.495516,9.207991,13.103945,3.173242,27.019008,-13.107113,13.639408,6.362421,-4.385942,8.423912,16.544136,-10.164404,14.11857,-1.314989,12.370755,3.507854,-14.762123,15.178302,3.777989,-8.210072
4,2.108051,-4.804351,-6.34064,-9.894902,-0.537569,-13.496845,-11.766742,-6.486739,3.383929,-17.771654,-18.461691,14.947982,-2.359631,19.716798,1.400169,-2.500152,6.525278,7.733286,-5.554511,-3.378407,-7.007667,1.12048,4.488824,2.60527,14.004436,-0.268036,-8.502895,-0.445767,0.198556,1.799568,-8.503655,10.107551,1.857477,-0.791442,0.22226,1.140509,-3.225853,-4.550116,-5.883802,-8.037796,11.532065,-8.207113,5.283358,0.131184,2.170901,-2.810481,6.550902,4.735389,-9.351663,-13.959224,-7.183641,5.45372,-6.182709,5.27194,-1.656952,-16.151016,-5.229461,4.679615,2.710841,4.165708,22.409744,-17.016273,-7.929356,1.029274,-10.14474,-7.490689,-1.417463,-2.625901,3.34515,3.346154,3.307957,-6.291258,16.672082,4.135833,-9.304062,-4.175722,0.050938,4.082106,4.996165,7.172141,2.758984,1.364064,27.614826,5.076471,-5.089917,1.354581,-1.854502,-0.621982,-3.61189,14.136051,-9.088601,8.351791,15.903534,-8.564124,33.786864,3.606777,6.636953,16.558903,-2.433088,14.338891,10.414168,-1.32717,16.27607,6.764964,2.164788,7.259698,-13.729054,34.925126,9.26446,-6.2423
5,-0.204625,-0.7596,-8.718598,-5.208882,-5.347542,-30.505845,14.118514,-5.756656,-1.836101,-12.635851,-29.936813,8.84921,-4.692822,26.703474,3.668894,0.248313,2.296744,-1.967344,1.528284,1.857493,-3.654032,1.572971,-5.084062,3.016559,15.029142,7.044181,-6.97938,0.456065,5.357883,3.711781,-10.978358,12.486117,-8.968329,-0.100726,-1.160475,5.956385,5.29195,1.276953,-5.501105,0.193101,6.870857,-3.737871,3.291835,-1.423232,-2.52527,2.518389,5.198155,4.894184,-15.689802,-15.537789,-6.459883,1.616435,-16.372664,0.242413,-7.833717,-5.893559,-2.510397,9.494204,3.469713,3.914268,23.003505,-10.545472,-1.589606,-0.183937,-11.169419,-11.224786,1.15386,-5.669572,15.265651,4.626163,2.769266,5.833931,16.00343,-4.524738,-9.472312,-6.303266,0.114971,3.707309,6.541846,10.75692,-5.548782,3.122887,-0.843685,2.829366,-5.362174,0.85175,2.504461,-2.34167,-4.795588,9.856493,4.052851,7.411509,9.29072,-6.809272,19.994091,17.055942,-6.39374,15.329068,3.820334,11.491886,-3.388101,8.752622,-4.094722,12.050425,-4.613371,7.620112,-14.433769,26.401092,9.096573,2.979575
6,-1.420527,-0.261414,-5.650443,1.483525,-1.539107,-28.344772,30.076005,-5.76934,-3.7325,2.656163,-20.076252,2.112976,3.521763,24.28421,1.635139,1.276392,0.236224,-2.72431,4.779682,4.964666,-2.636197,1.087868,-14.228214,-0.452953,1.361642,11.615381,-1.452222,2.070255,8.736467,2.851539,-8.375257,8.449834,-13.352904,2.099913,-1.033427,7.022171,9.568091,7.326549,1.837455,10.58642,-3.090138,4.028742,1.526754,-0.668876,-3.62505,10.529086,3.214034,4.160256,-11.931645,-11.243385,-2.780007,-2.918317,-16.499762,-4.045225,-18.321289,9.263724,1.403961,8.545623,5.983091,4.043728,10.03484,3.543362,2.607983,-0.398001,-6.875876,-9.400742,2.246682,-5.00542,14.623677,0.243421,-2.742642,12.944871,4.052292,-8.847975,-12.748909,-10.306612,-14.996419,-4.357203,8.901065,11.743839,-9.568008,6.002531,-21.439485,6.139705,0.938807,0.254927,4.137932,-6.854541,-1.836324,0.717592,12.955433,6.21752,0.191512,1.225587,2.700209,21.916311,-13.088018,3.877609,10.921532,4.27287,-8.667002,11.808159,-18.266015,7.267387,-0.175992,1.454796,-12.525382,-2.723387,4.201362,7.206675
7,1.821947,-2.742136,5.61501,2.855132,9.022362,-1.037709,28.75413,-5.445075,-2.045717,15.321156,7.377105,2.883206,17.572541,20.108865,-4.996906,1.411778,3.005053,9.296568,-0.54494,7.522639,-3.36208,3.999151,-12.622512,-5.092371,-17.16002,11.743004,4.577149,4.184641,9.306571,0.22938,4.166332,0.095231,-7.365105,2.679975,0.96732,3.207087,5.638723,8.465073,8.183474,16.017075,-5.656675,8.354322,-0.305969,2.387014,-0.481572,15.067824,3.779571,5.145774,-2.751429,-5.495047,2.992693,-5.125502,-2.251284,-4.226966,-24.63779,18.569711,1.705511,4.35927,7.634982,2.001016,1.680959,15.447429,0.425848,-3.299926,5.783058,-2.593074,0.10282,-0.224929,-1.519387,-6.834485,-6.341183,10.371102,-15.0471,-5.435704,-23.499644,-13.460835,-47.211397,-16.993256,7.585763,9.164257,-2.913649,9.265856,-17.165836,13.345013,12.618712,-0.558098,3.818675,-10.319066,4.149899,-5.425698,4.642863,1.160612,-5.187718,1.371954,-3.599982,19.264606,-7.380109,-5.662349,14.276279,1.130778,-0.998917,9.020387,-1.994994,-3.670481,8.988527,-8.49256,-4.136367,-24.737765,-3.066986,-1.231423
8,7.550499,-3.106275,18.613254,-1.432115,17.532788,32.316664,24.571058,-3.232309,-0.247621,15.92392,29.705253,8.559612,24.765059,20.125461,-11.990313,2.561931,6.378783,20.018923,-9.205924,11.757942,-3.346772,9.550117,-2.34838,-4.948843,-26.391408,9.531757,7.042272,5.716195,7.274818,-1.42741,20.243201,-7.279956,3.348546,-0.661902,3.804426,-1.848777,-0.82076,4.140994,6.983468,14.719472,3.48771,5.158178,-3.263508,4.483461,3.200771,13.020867,7.352066,7.567232,4.380947,-2.801945,7.611036,-4.601879,17.523162,-1.234283,-19.917747,16.901168,-2.989929,0.242844,6.005217,-3.118889,6.851932,16.040245,-4.859457,-8.22179,22.260049,5.771083,-3.068054,5.482966,-20.875067,-9.494763,-3.960183,3.586715,-30.646741,0.471456,-32.96447,-12.526211,-72.719165,-22.302361,0.032157,3.931321,8.741721,11.307042,0.532637,16.143313,19.806195,-1.750394,3.161456,-9.761465,9.321857,-4.50746,-13.923315,-7.54874,-5.983328,-9.830143,-3.437741,13.928825,3.807502,-2.608796,11.727025,5.109157,7.735639,7.825531,32.503903,-10.862545,8.645201,-15.332557,8.834305,-17.835402,-10.240203,-15.099878
9,10.468935,1.83447,23.545773,-5.382441,17.628479,45.687221,35.148642,0.906319,-1.410689,7.070424,27.799082,10.808097,17.33171,22.808222,-14.340245,4.628297,5.093468,14.442432,-11.500208,15.850575,-1.434494,11.935794,4.015109,1.699267,-20.436175,7.882229,4.273601,5.248291,4.062205,-0.442736,28.364335,-9.072126,10.236203,-6.104216,7.128492,-3.402349,-1.356472,-1.456881,0.328069,10.70474,15.307839,-1.713966,-6.992468,2.904877,3.970368,6.267941,11.098026,8.481989,5.599896,-4.053058,8.841751,-3.419177,26.96527,0.553129,-6.759909,7.738208,-9.206939,-3.000291,1.381882,-9.367613,17.279915,6.563852,-5.469927,-10.148889,31.711762,11.513519,-2.966491,8.986164,-26.055269,-4.531495,1.415973,1.433637,-32.841981,2.180357,-28.958104,-7.259788,-62.936371,-11.631941,-8.936286,-1.111045,14.129382,11.255867,8.21232,10.984357,16.210921,-1.029252,3.377745,-4.990625,11.049379,0.586614,-23.946592,-13.112474,-5.381416,-21.000315,-10.394495,8.817846,8.232303,10.075981,4.621711,10.548686,5.22066,11.194863,47.658107,-9.657437,-5.819962,-14.417962,19.061351,12.003272,-14.388568,-19.455333
